,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
5-Phosphoribose 1-diphosphate biosynthesis,1.6046454e-06,2.0,1.6046454e-06,-0.08962669,0.10322727,2
A tetrasaccharide linker sequence is required for GAG synthesis,0.0010259374,8.0,0.0010259374,0.5235266,0.52287114,2
AAAS,7.3727697e-06,18.0,7.3727697e-06,-0.039363924,-2.42748,1
AACS,1.795285e-08,1.0,1.795285e-08,-0.04241584,0.09537437,1
AAGAB,0.0,0.0,0.0,-0.042423286,0.24390465,1
AAMP,0.0,0.0,0.0,-0.042423286,0.24390465,1
AARS,5.6884426e-07,1.0,5.6884426e-07,-0.042187244,0.095543236,1
AASDH,0.0,0.0,0.0,-0.042423286,0.24390465,1
AASDHPPT,0.0,0.0,0.0,-0.042423286,0.24390465,1
AASS,1.6408629e-07,1.0,1.6408629e-07,-0.0423552,0.09541916,1
AATF,5.2539098e-09,1.0,5.2539098e-09,-0.042421106,0.09537049,1
ABC transporter disorders,2.069429e-07,16.0,2.069429e-07,-0.16093208,-2.2182407,4
ABC transporters in lipid homeostasis,0.00022685138,2.0,0.00022685138,-0.036357343,0.12838835,2
ABC-family proteins mediated transport,0.00020181791,3.0,0.00020181791,-0.12675524,0.20771107,5
ABCA13,1.8421912e-05,1.0,1.8421912e-05,-0.03477904,0.10101564,1
ABCA2,1.1066095e-07,1.0,1.1066095e-07,-0.042377368,0.095402785,1
ABCA3,5.2669225e-06,2.0,5.2669225e-06,-0.040237755,-0.051552508,1
ABCA7,0.00037954948,1.0,0.00037954948,0.11507234,0.21171029,1
ABCB10,2.1495733e-05,1.0,2.1495733e-05,-0.033503544,0.10195785,1
ABCB4,4.548919e-08,1.0,4.548919e-08,-0.04240441,0.09538282,1
ABCB6,2.95883e-05,1.0,2.95883e-05,-0.0301455,0.104438424,1
ABCB7,3.3120876e-05,1.0,3.3120876e-05,-0.028679641,0.10552125,1
ABCB9,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABCC10,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABCC4,6.6116916e-09,1.0,6.6116916e-09,-0.042420544,0.095370896,1
ABCD1,5.4529788e-05,4.0,5.4529788e-05,-0.019795926,-0.33352384,1
ABCD3,2.2996276e-06,1.0,2.2996276e-06,-0.04146905,0.096073754,1
ABCE1,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABCF1,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABCF2,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABCF3,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABCG1,0.0007698006,2.0,0.0007698006,0.27700865,0.18279624,1
ABHD10,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABHD13,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABHD14A,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABHD14B,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABHD15,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABHD16A,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABHD17A,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABHD17B,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABHD17C,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABHD3,1.0997116e-10,1.0,1.0997116e-10,-0.04242324,0.0953689,1
ABHD4,1.0876659e-06,1.0,1.0876659e-06,-0.041971955,0.09570227,1
ABHD5,3.3758664e-07,1.0,3.3758664e-07,-0.042283203,0.09547235,1
ABHD6,2.0893643e-12,1.0,2.0893643e-12,-0.042423286,0.09536887,1
ABHD8,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABI1,1.5191651e-05,2.0,1.5191651e-05,-0.036119446,-0.048510328,1
ABI2,4.0550412e-06,2.0,4.0550412e-06,-0.040740628,-0.05192398,1
ABL1,7.30713e-05,8.0,7.30713e-05,-0.012102049,-0.9219836,1
ABLIM1,7.465689e-06,1.0,7.465689e-06,-0.039325368,0.097657286,1
ABR,1.5288514e-11,3.0,1.5288514e-11,-0.04242328,-0.20170277,1
ABRACL,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABT1,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABTB1,0.0,0.0,0.0,-0.042423286,0.24390465,1
ABTB2,0.0,0.0,0.0,-0.042423286,0.24390465,1
ACAA1,2.524565e-07,4.0,2.524565e-07,-0.04231853,-0.3501612,1
ACACA,6.355069e-06,4.0,6.355069e-06,-0.039786223,-0.3482906,1
ACACB,6.6219573e-06,3.0,6.6219573e-06,-0.039675478,-0.19967298,1
