,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
5-Phosphoribose 1-diphosphate biosynthesis,2.6141522e-09,2.0,2.6141522e-09,-0.20947129,0.022852728,2
A tetrasaccharide linker sequence is required for GAG synthesis,1.6658427e-05,8.0,1.6658427e-05,-0.17695561,-0.0020870385,2
AAAS,7.774216e-06,18.0,7.774216e-06,-0.1563846,-2.8079498,1
AACS,1.3551331e-05,1.0,1.3551331e-05,-0.13865854,0.024265314,1
AAGAB,0.0,0.0,0.0,-0.18023841,0.1563648,1
AAMP,0.0,0.0,0.0,-0.18023841,0.1563648,1
AARS,1.358675e-06,1.0,1.358675e-06,-0.17606954,-0.0060174954,1
AASDH,0.0,0.0,0.0,-0.18023841,0.1563648,1
AASDHPPT,0.0,0.0,0.0,-0.18023841,0.1563648,1
AASS,1.3580217e-08,1.0,1.3580217e-08,-0.18019673,-0.009358306,1
AATF,1.4018131e-07,1.0,1.4018131e-07,-0.17980827,-0.009043865,1
ABC transporter disorders,0.00019734788,16.0,0.00019734788,-0.03440803,-2.1744971,4
ABC transporters in lipid homeostasis,4.3762016e-06,2.0,4.3762016e-06,-0.28416863,-0.06810637,2
ABC-family proteins mediated transport,4.687665e-06,3.0,4.687665e-06,-0.39366013,0.0024915712,5
ABCA13,1.2145219e-05,1.0,1.2145219e-05,-0.14297293,0.020772953,1
ABCA2,5.354034e-10,1.0,5.354034e-10,-0.18023677,-0.009390691,1
ABCA3,7.9740516e-07,2.0,7.9740516e-07,-0.17779171,-0.17316838,1
ABCA7,3.902681e-07,1.0,3.902681e-07,-0.17904094,-0.00842272,1
ABCB10,2.777077e-07,1.0,2.777077e-07,-0.1793863,-0.008702281,1
ABCB4,5.495773e-07,1.0,5.495773e-07,-0.17855212,-0.008027051,1
ABCB6,3.716991e-08,1.0,3.716991e-08,-0.18012436,-0.009299699,1
ABCB7,3.4376642e-09,1.0,3.4376642e-09,-0.18022786,-0.009383499,1
ABCB9,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABCC10,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABCC4,3.608269e-08,1.0,3.608269e-08,-0.1801277,-0.009302407,1
ABCD1,0.00033127968,4.0,0.00033127968,0.83623487,0.31613412,1
ABCD3,8.742039e-08,1.0,8.742039e-08,-0.17997018,-0.009174906,1
ABCE1,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABCF1,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABCF2,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABCF3,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABCG1,1.635478e-06,2.0,1.635478e-06,-0.17522022,-0.17108686,1
ABHD10,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABHD13,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABHD14A,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABHD14B,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABHD15,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABHD16A,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABHD17A,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABHD17B,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABHD17C,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABHD3,0.00011394136,1.0,0.00011394136,0.16937056,0.2736032,1
ABHD4,2.4264815e-05,1.0,2.4264815e-05,-0.10578611,0.050874304,1
ABHD5,2.073512e-05,1.0,2.073512e-05,-0.11661634,0.04210762,1
ABHD6,1.6030703e-10,1.0,1.6030703e-10,-0.18023792,-0.009391636,1
ABHD8,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABI1,0.0004534849,2.0,0.0004534849,1.2112,0.95116794,1
ABI2,8.047152e-06,2.0,8.047152e-06,-0.15554714,-0.15516225,1
ABL1,8.648389e-05,8.0,8.648389e-05,0.085122146,-0.95489055,1
ABLIM1,0.008466093,1.0,0.008466093,25.796474,21.017775,1
ABR,1.2460053e-05,3.0,1.2460053e-05,-0.14200693,-0.3099588,1
ABRACL,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABT1,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABTB1,0.0,0.0,0.0,-0.18023841,0.1563648,1
ABTB2,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACAA1,7.4978074e-05,4.0,7.4978074e-05,0.04981859,-0.3204401,1
ACACA,0.00027499825,4.0,0.00027499825,0.6635452,0.17634839,1
ACACB,0.0024144384,3.0,0.0024144384,7.22804,5.655816,1
ACAD10,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACAD11,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACAD9,7.3465155e-05,1.0,7.3465155e-05,0.045176465,0.1730728,1
ACADM,1.2813608e-07,3.0,1.2813608e-07,-0.17984524,-0.34058747,1
ACADS,2.3562677e-06,1.0,2.3562677e-06,-0.1730086,-0.0035397876,1
ACADVL,2.8242023e-06,2.0,2.8242023e-06,-0.17157283,-0.16813444,1
ACAP2,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACAT2,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACBD3,4.543399e-06,1.0,4.543399e-06,-0.1662978,0.0018923779,1
ACBD4,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACBD5,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACBD6,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACCS,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACD,1.6917629e-06,2.0,1.6917629e-06,-0.17504753,-0.17094707,1
ACIN1,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACKR2,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACKR3,9.327783e-06,1.0,9.327783e-06,-0.15161775,0.013775324,1
ACLY,7.951203e-06,2.0,7.951203e-06,-0.15584154,-0.15540054,1
ACOT11,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACOT13,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACOT2,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACOT4,7.171138e-05,1.0,7.171138e-05,0.039795317,0.16871695,1
ACOT7,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACOT8,4.9132625e-05,4.0,4.9132625e-05,-0.029483613,-0.38463226,1
ACOT9,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACOX1,1.9277979e-05,4.0,1.9277979e-05,-0.12108732,-0.45878205,1
ACOX3,5.9739854e-05,1.0,5.9739854e-05,0.003062799,0.13898337,1
ACP1,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACRBP,0.0,0.0,0.0,-0.18023841,0.1563648,1
ACSBG1,1.1580176e-05,1.0,1.1580176e-05,-0.14470667,0.019369561,1
ACSF3,1.294428e-05,1.0,1.294428e-05,-0.14052115,0.022757577,1
ACSL3,3.6811583e-05,1.0,3.6811583e-05,-0.067288555,0.08203661,1
ACSL6,1.4403358e-05,1.0,1.4403358e-05,-0.13604423,0.026381474,1
ACSM5,2.2469103e-06,1.0,2.2469103e-06,-0.17334415,-0.0038113976,1
ACSS2,2.9799153e-06,2.0,2.9799153e-06,-0.17109506,-0.16774769,1
ACTA2,5.2265183e-05,2.0,5.2265183e-05,-0.019871911,-0.045338266,1
ACTL6A,1.3797361e-06,4.0,1.3797361e-06,-0.17600493,-0.50323576,1
ACTN1,1.0584752e-05,4.0,1.0584752e-05,-0.14776096,-0.48037335,1
