,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
5-Phosphoribose 1-diphosphate biosynthesis,3.830283e-09,2.0,3.830283e-09,-0.20676045,0.036584903,2
A tetrasaccharide linker sequence is required for GAG synthesis,3.2115473e-05,8.0,3.2115473e-05,-0.10048613,0.057479694,2
AAAS,1.3337906e-05,18.0,1.3337906e-05,-0.055773564,-2.5812693,1
AACS,1.1879232e-10,1.0,1.1879232e-10,-0.12854835,0.030787552,1
AAGAB,0.0,0.0,0.0,-0.128549,0.1877815,1
AAMP,0.0,0.0,0.0,-0.128549,0.1877815,1
AARS,0.00022819267,1.0,0.00022819267,1.1165354,1.003402,1
AASDH,0.0,0.0,0.0,-0.128549,0.1877815,1
AASDHPPT,0.0,0.0,0.0,-0.128549,0.1877815,1
AASS,5.8481447e-08,1.0,5.8481447e-08,-0.1282299,0.03103631,1
AATF,4.748558e-09,1.0,4.748558e-09,-0.12852308,0.030807283,1
ABC transporter disorders,5.6770416e-05,16.0,5.6770416e-05,-0.14712612,-2.2785664,4
ABC transporters in lipid homeostasis,3.5844387e-06,2.0,3.5844387e-06,-0.2576993,-0.05113523,2
ABC-family proteins mediated transport,1.7074927e-06,3.0,1.7074927e-06,-0.35306105,0.03556073,5
ABCA13,9.035618e-08,1.0,9.035618e-08,-0.12805599,0.031172166,1
ABCA2,4.411713e-07,1.0,4.411713e-07,-0.12614185,0.03266743,1
ABCA3,7.271088e-06,2.0,7.271088e-06,-0.08887586,-0.09521621,1
ABCA7,8.092297e-08,1.0,8.092297e-08,-0.12810746,0.031131962,1
ABCB10,1.3415814e-06,1.0,1.3415814e-06,-0.12122895,0.036505207,1
ABCB4,5.126303e-07,1.0,5.126303e-07,-0.12575193,0.03297201,1
ABCB6,2.1185933e-06,1.0,2.1185933e-06,-0.116989344,0.039817028,1
ABCB7,1.1059992e-06,1.0,1.1059992e-06,-0.122514345,0.035501093,1
ABCB9,0.0,0.0,0.0,-0.128549,0.1877815,1
ABCC10,0.0,0.0,0.0,-0.128549,0.1877815,1
ABCC4,4.8845925e-07,1.0,4.8845925e-07,-0.12588382,0.03286898,1
ABCD1,2.7738717e-05,4.0,2.7738717e-05,0.022801377,-0.32196692,1
